A,B,Link Size
Gazprombank,U.S.–Russia Business Council,2
JPMorgan Chase,U.S.–Russia Business Council,2
Kissinger Associates,U.S.–Russia Business Council,2
Lukoil,U.S.–Russia Business Council,2
Pfizer,U.S.–Russia Business Council,2
Procter & Gamble,U.S.–Russia Business Council,2
Sberbank,U.S.–Russia Business Council,2
VTB Bank,U.S.–Russia Business Council,2
David Sacks,Uber,2
Laphonza Butler,Uber,2
Matt Rodriguez,Uber,2
Gavin Anderson & Company,UBS,2
Fritz Leutwiler,UBS Group,2
Gail Kelly,UBS Group,2
Igor Olenicoff,UBS Group,2
Richard Burt,UBS Group,2
Alan Walters,UK Conservative Party,2
Alexander Knaster,UK Conservative Party,2
Andrea Jenkyns,UK Conservative Party,2
Andrew J.B. Mitchell,UK Conservative Party,2
Arron Banks,UK Conservative Party,2
Edward Heath,UK Conservative Party,2
Jo Johnson,UK Conservative Party,2
Jonathan Aitken,UK Conservative Party,2
Keith Joseph,UK Conservative Party,2
Lynton Crosby,UK Conservative Party,2
Margaret Thatcher,UK Conservative Party,2
Michael Howard,UK Conservative Party,2
Mick Davis,UK Conservative Party,2
Monty Woodhouse,UK Conservative Party,2
Nigel Lawson,UK Conservative Party,2
Nigel Vinson,UK Conservative Party,2
Paul Deighton,UK Conservative Party,2
Paul Marshall,UK Conservative Party,2
Peter Carington,UK Conservative Party,2
Robert Jenrick,UK Conservative Party,2
Stanley Kalms,UK Conservative Party,2
Vincent Tchenguiz,UK Conservative Party,2
William Hague,UK Conservative Party,2
Ben Wegg-Prosser,UK Labour Party,2
David Hill,UK Labour Party,2
David Mills,UK Labour Party,2
Gisela Stuart,UK Labour Party,2
Mervyn Davies,UK Labour Party,2
Michael Craven,UK Labour Party,2
Peter Mandelson,UK Labour Party,2
Affinity Flying Services Limited,UK Military,2
Andrew J.B. Mitchell,UK Military,2
Arnaud de Borchgrave,UK Military,2
Monty Woodhouse,UK Military,2
Robin Ibbs,UK Military,2
Arron Banks,UKIP,2
Christopher Monckton,UKIP,2
Graham Phillips,UKIP,2
Paul Nuttall,UKIP,2
Raheem Kassam,UKIP,2
Ayaan Hirsi Ali,UnHerd,2
John Mearsheimer,UnHerd,2
Paul Marshall,UnHerd,2
American Freedom Coalition,Unification Church,2
Arnaud de Borchgrave,Unification Church,2
Bo Hi Pak,Unification Church,2
Daniel Graham,Unification Church,2
Insight on the News,Unification Church,2
Josette Shiner,Unification Church,2
Lynn Bouchey,Unification Church,2
News World Communications,Unification Church,2
Osami Kuboki,Unification Church,2
Richard Viguerie,Unification Church,2
Robert Grant,Unification Church,2
Roger Fontaine,Unification Church,2
Sun Myung Moon,Unification Church,2
Tim LaHaye,Unification Church,2
Unification Church,Unification Church,2
Washington Times,Unification Church,2
Consumer Brands Association,Unilever,2
Edelman,Unilever,2
Hill & Knowlton,Unilever,2
Lucien Conein,Unione Corse,2
Paul Helliwell,Unione Corse,2
Pierre Ferri-Pisani,Unione Corse,2
Adelson Fortune,United Against Nuclear Iran,2
August Hanning,United Against Nuclear Iran,2
Bill Richardson,United Against Nuclear Iran,2
Caterpillar,United Against Nuclear Iran,2
Caterpillar,United Against Nuclear Iran,2
Dennis Ross,United Against Nuclear Iran,2
Fran Townsend,United Against Nuclear Iran,2
GE,United Against Nuclear Iran,2
GE,United Against Nuclear Iran,2
Irwin Cotler,United Against Nuclear Iran,2
Jeb Bush,United Against Nuclear Iran,2
Jim Woolsey,United Against Nuclear Iran,2
Joe Lieberman,United Against Nuclear Iran,2
John Bolton,United Against Nuclear Iran,2
Karen Hughes,United Against Nuclear Iran,2
Mark Wallace,United Against Nuclear Iran,2
Mike Pompeo,United Against Nuclear Iran,2
Otto Reich,United Against Nuclear Iran,2
Ray Takeyh,United Against Nuclear Iran,2
Sheldon Adelson,United Against Nuclear Iran,2
Stanley Kalms,United Against Nuclear Iran,2
Tamir Pardo,United Against Nuclear Iran,2
Thomas Kaplan,United Against Nuclear Iran,2
Yousef Al Otaiba,United Against Nuclear Iran,2
Dwight Chapin,United Airlines,2
Gavin Anderson & Company,United Airlines,2
Herb Kalmbach,United Airlines,2
Stratesec,United Airlines,2
Barry Lynn,United Church of Christ,2
Frank Morris,United Church of Christ,2
Issue Dynamics,United Church of Christ,2
Andy Bursky,United for Progress,2
Craig Duchossois,United for Progress,2
Jerry Reinsdorf,United for Progress,2
Jim Frank,United for Progress,2
Michael Sonnenfeldt,United for Progress,2
Ben Carson,United in Purpose,2
Charles Herbster,United in Purpose,2
Donald Trump,United in Purpose,2
E.W. Jackson,United in Purpose,2
Gary Bauer,United in Purpose,2
James Dobson,United in Purpose,2
Jim Garlow,United in Purpose,2
Kelly Shackelford,United in Purpose,2
Ken Blackwell,United in Purpose,2
Mike Huckabee,United in Purpose,2
Ralph Reed,United in Purpose,2
Tony Perkins,United in Purpose,2
APCO Worldwide,United Malays National Organisation,2
Joshua Treviño,United Malays National Organisation,2
Andrii Derkach,United Russia,2
Dmitry Medvedev,United Russia,2
Dmitry Rogozin,United Russia,2
Freedom Party of Austria,United Russia,2
Maria Butina,United Russia,2
Vladimir Putin,United Russia,2
Citizens for a Strong America,United Sportsmen,2
Wisconson Club for Growth,United Sportsmen,2
Charles Horner,United States Institute of Peace,2
Daniel Pipes,United States Institute of Peace,2
Douglas Feith,United States Institute of Peace,2
Evron Kirkpatrick,United States Institute of Peace,2
Harriet Zimmerman,United States Institute of Peace,2
James Schlesinger,United States Institute of Peace,2
Jeremy Rabkin,United States Institute of Peace,2
Laurie Fulton,United States Institute of Peace,2
Lorne Craner,United States Institute of Peace,2
Max Kampelman,United States Institute of Peace,2
Peter Ackerman,United States Institute of Peace,2
Robert Gates,United States Institute of Peace,2
Robinson West,United States Institute of Peace,2
Scott Thompson,United States Institute of Peace,2
Scott Thompson,United States Institute of Peace,2
Seymour Martin Lipset,United States Institute of Peace,2
Seymour Martin Lipset,United States Institute of Peace,2
Stephen Hadley,United States Institute of Peace,2
Andy Bursky,United Together,2
Jerry Reinsdorf,United Together,2
Andrew Witty,UnitedHealth,2
Glover Park Group,UnitedHealth,2
Haley Barbour,UnitedHealth,2
Laurence Boschetto,UnitedHealth,2
Optum,UnitedHealth,2
Brent Bozell III,University of Dallas,2
Earhart Foundation,University of Dallas,2
Gary Schmitt,University of Dallas,2
John Eastman,University of Dallas,2
Kevin Hasson,University of Dallas,2
National Center for Policy Analysis,University of Dallas,2
Thomas Lindsay,University of Dallas,2
Wilfred McClay,University of Dallas,2
William Marshner,University of Dallas,2
Michelle Malkin,Unz Review,2
Philip Giraldi,Unz Review,2
Ron Unz,Unz Review,2
Steve Sailer,Unz Review,2
Alston & Bird,UPS,2
Edelman,UPS,2
Marjorie Taylor Green,UPS,2
Cohen Group,URS,2
Joseph Ralston,URS,2
Lydia Kennard,URS,2
David Farr,US China Business Council,2
David Rubenstein,US China Business Council,2
Gregory Boyce,US China Business Council,2
Ian Read,US China Business Council,2
Indra Nooyi,US China Business Council,2
Klaus Kleinfeld,US China Business Council,2
Muhtar Kent,US China Business Council,2
Andy Messing,US Council for World Freedom,2
Bert Hurlbut,US Council for World Freedom,2
Daniel Graham,US Council for World Freedom,2
David Keene,US Council for World Freedom,2
Howard Phillips,US Council for World Freedom,2
Jay Parker,US Council for World Freedom,2
Joe Coors,US Council for World Freedom,2
John Singlaub,US Council for World Freedom,2
Milnor Roberts,US Council for World Freedom,2
John Tanton,US Inc,2
Mellon Scaife Fortune,US Inc,2
ProEnglish,US Inc,2
Richard Clark,US Inc,2
Social Contract,US Inc,2
Social Contract Press,US Inc,2
Alexander Haig,US Military,2
AMSEC,US Military,2
Andrew Marshall,US Military,2
Andy Messing,US Military,2
Anthony Tata,US Military,2
BAE Systems,US Military,2
Barber Conable,US Military,2
Bechtel,US Military,2
Bernie Kerik,US Military,2
Bert Stubblebine,US Military,2
Bill Cowan,US Military,2
Bill Liedtke,US Military,2
Bo Gritz,US Military,2
Bobby Ray Inman,US Military,2
Boeing,US Military,2
Booz Allen Hamilton,US Military,2
Brian Michael Jenkins,US Military,2
Bruce Jackson,US Military,2
Bud McFarlane,US Military,2
CACI,US Military,2
Carl Higbie,US Military,2
Carlton Sherwood,US Military,2
Carter Page,US Military,2
Caspar Weinberger,US Military,2
Christina Bobb,US Military,2
Clearview AI,US Military,2
Colgen,US Military,2
CyberPoint,US Military,2
Dave Weldon,US MIlitary,2
David MacMichael,US Military,2
Derek Harvey,US Military,2
Dick Black,US Military,2
Douglas Graham,US Military,2
Douglas Macgregor,US Military,2
Duke Cunningham,US Military,2
DynCorp,US Military,2
Ed Meese,US Military,2
Edward Roderick,US Military,2
EG&G,US Military,2
Elbit Systems,US Military,2
Elmo Zumwalt,US Military,2
Engineered Support Systems,US Military,2
Federal Data Systems,US Military,2
Frank Carlucci,US Military,2
Fred Malek,US Military,2
General Dynamics,US Military,2
George H.W. Bush,US Military,2
Gordon Kahl,US Military,2
H.R. McMaster,US Military,2
Harry Weyher,US Military,2
Hillel Fradkin,US Military,2
Honeywell,US Military,2
Hugh Liedtke,US Military,2
Ivan Raiklin,US Military,2
J.D. Gordon,US Military,2
Jack Keane,US Military,2
Jack Keane,US Military,2
James Baker,US Military,2
James Cartwright,US Military,2
James Clapper,US Military,2
Jeremy Hunt,US Military,2
Jerry Boykin,US Military,2
Jim Channon,US Military,2
Jim Hake,US Military,2
Jim Watkins,US Military,2
Jim Woolsey,US Military,2
Jim Wright,US Military,2
Joe Francescon,US Military,2
John B. Alexander,US Military,2
John Dowd,US Military,2
John Lehman,US Military,2
John Shadegg,US Military,2
John Singlaub,US Military,2
Joseph Humire,US Military,2
Joseph McMoneagle,US Military,2
Joseph Schmitz ,US Military,2
Keith Alexander,US Military,2
L-3 Crestview Aerospace,US Military,2
L3Harris,US Military,2
Larry Greenfield,US Military,2
Leigh Gribble,US Military,2
Lloyd Bentsen,US Military,2
Lockheed Martin,US Military,2
Marc Racicot,US Military,2
Marion Parrott,US Military,2
Matt Blunt,US Military,2
Matthew Turpin,US Military,2
Michael Decker,US Military,2
Michael Echanis,US Military,2
Michael Hewitt,US Military,2
Michael Josselson,US MIlitary,2
Mike DeLong,US Military,2
Mitch McConnell,US Military,2
Monroe Institute,US Military,2
Northrop Grumman,US Military,2
Palantir,US Military,2
Patrick Eddington,US Military,2
Patrick Lancaster,US Military,2
Patrick Little,US Military,2
Paul Kaminski,US Military,2
Paul Vallely,US Military,2
Pete Hegseth,US Military,2
Rendon Group,US Military,2
Richard Myers,US Military,2
Richard Myers,US Military,2
Rinaldo Nazzaro,US Military,2
Robert Bevelacqua,US Military,2
Robert Dutton,US Military,2
Robert Hultslander,US Military,2
Robert Maginnis,US Military,2
Robert Reilly,US Military,2
Robert Scales,US Military,2
Robert Spalding,US Military,2
Roger Pardo-Maurer,US Military,2
Ronald Fogleman,US Military,2
Roy Moore,US Military,2
Ryan Adams,US Military,2
SAIC,US Military,2
Sam Clovis,US Military,2
Science Applications International Corporation,US Military,2
Scott Ritter,US Military,2
Spitz Channell,US Military,2
Stanley McChrystal,US Military,2
Stargate,US Military,2
Stephen Hadley,US Military,2
Stratesec,US Military,2
System Planning Corporation,US Military,2
Thomas McInerney,US Military,2
Thomas Moorer,US Military,2
Tidal McCoy,US Military,2
Tim LaHaye,US Military,2
Timur Eads,US Military,2
Tom Cotton,US Military,2
Tom Cotton,US MIlitary,2
Tom Daschle,US Military,2
Tony Perkins,US Military,2
Total Information Awareness,US Military,2
US Investigations Services,US Military,2
ViaSat,US Military,2
Waldo Dubberstein,US Military,2
Walter Wriston,US Military,2
Wayne Downing,US Military,2
William Crowe,US Military,2
William Kernan,US Military,2
William L. Armstrong,US Military,2
William Luti,US Military,2
William Nash,US Military,2
William Ruckelshaus,US Military,2
William Shughart II,US Military,2
William Studeman,US Military,2
Daniel Mitchell,USA Today,2
Neil Livingstone,USA Today,2
Benjamin Black,USAID,2
Larry Diamond,USAID,2
Otto Reich,USAID,2
Ariel Cohen,Valdai Discussion Club,2
Dmitry Medvedev,Valdai Discussion Club,2
Ivan Timofeev,Valdai Discussion Club,2
Joseph Mifsud,Valdai Discussion Club,2
Sergey Lavrov,Valdai Discussion Club,2
Stephan Roh,Valdai Discussion Club,2
Vladimir Putin,Valdai Discussion Club,2
Brooke Earthman McChesney,Van Scoyoc Associates,2
Brooke Earthman McChesney,Van Scoyoc Associates,2
Bryan Blom,Van Scoyoc Associates,2
Bryan Blom,Van Scoyoc Associates,2
Ray Cole,Van Scoyoc Associates,2
Ray Cole,Van Scoyoc Associates,2
Concord Fund/85 Fund,Vanguard,2
George Zoley,Vanguard,2
Palantir,Vanguard,2
Schwab Charitable Fund,Vanguard Charitable Endowment Program,2
Ann Coulter,VDARE,2
Donald Collins,VDARE,2
Ira Mehlman,VDARE,2
Jared Taylor,VDARE,2
John Derbyshire,VDARE,2
Kevin MacDonald,VDARE,2
Michelle Malkin,VDARE,2
Paul Craig Roberts,VDARE,2
Paul Gottfried,VDARE,2
Peter Brimelow,VDARE,2
Philippe Rushton,VDARE,2
Ron Unz,VDARE,2
Sam Francis,VDARE,2
Stephen Miller,VDARE,2
Steve Sailer,VDARE,2
Virginia Abernethy,VDARE,2
Bill Barr,Verizon,2
Century Strategies,Verizon,2
Gavin Anderson & Company,Verizon,2
Glover Park Group,Verizon,2
Issue Dynamics,Verizon,2
Laurence Boschetto,Verizon,2
Livingston Group,Verizon,2
Mark Penn,Verizon,2
PSB Insights,Verizon,2
Bill Binney,Veteran Intelligence Professionals for Sanity,2
David MacMichael,Veteran Intelligence Professionals for Sanity,2
Dick Black,Veteran Intelligence Professionals for Sanity,2
Douglas Macgregor,Veteran Intelligence Professionals for Sanity,2
Graham Fuller,Veteran Intelligence Professionals for Sanity,2
John Kiriakou,Veteran Intelligence Professionals for Sanity,2
Kirk Wiebe,Veteran Intelligence Professionals for Sanity,2
Patrick Eddington,Veteran Intelligence Professionals for Sanity,2
Philip Giraldi,Veteran Intelligence Professionals for Sanity,2
Ray McGovern,Veteran Intelligence Professionals for Sanity,2
Thomas A. Drake,Veteran Intelligence Professionals for Sanity,2
Campaign Solutions,Vets for Freedom Action Fund,2
Donatelli Group,Vets for Freedom Action Fund,2
Hertog Fortune,Vets for Freedom Action Fund,2
Holtzman Vogel,Vets for Freedom Action Fund,2
Paul Singer,Vets for Freedom Action Fund,2
Roger Stone,Vets for Freedom Action Fund,2
Samuel Heyman,Vets for Freedom Action Fund,2
Taylor Gross,Vets for Freedom Action Fund,2
William Kristol,Vets for Freedom Action Fund,2
William Cohen,Viacom,2
Debbie Wasserman Schultz,ViaSat,2
Black Cube,Victor Orbán,2
Douglas Schoen,Victor Pinchuk,2
Monica Crowley,Victor Pinchuk,2
PSB Insights,Victor Pinchuk,2
Robert Kagan,VIctoria Nuland,2
Joseph diGenova,Victoria Toensing,2
Lev Parnas,Victoria Toensing,2
Sidney Powell,Victoria Toensing,2
Charlie Kirk,Victory Channel,2
Donald Trump,Victory Channel,2
Marjorie Taylor Greene,Victory Channel,2
John Mearsheimer,Viktor Orbán,2
Sebastian Gorka,Viktor Orbán,2
Evgeny Buryakov,Viktor Podobnyy,2
Igor Sporyshev,Viktor Podobnyy,2
TNK-BP,Viktor Vekselberg,2
Alex van der Zwaan,Viktor Yanukovych,2
Konstantin Kilimnik,Viktor Yanukovych,2
Rick Gates,Viktor Yanukovych,2
Serhiy Lyovochkin,Viktor Yanukovych,2
Marcello Dell'Utri,Vincenzo Virga,2
House of Saud,Vinnell,2
Hill & Knowlton,Virgin,2
John Tanton,Virginia Abernethy,2
Becky Norton Dunlop,Virginia Institute for Public Policy,2
Cato Institute,Virginia Institute for Public Policy,2
Charles Cooper,Virginia Institute for Public Policy,2
Diana Davis Spencer Foundation,Virginia Institute for Public Policy,2
Donald Boudreaux,Virginia Institute for Public Policy,2
DonorsTrust/Donors Capital Fund,Virginia Institute for Public Policy,2
James Bennett,Virginia Institute for Public Policy,2
Jaquelin Hume Foundation,Virginia Institute for Public Policy,2
Lawrence Reed,Virginia Institute for Public Policy,2
Mark Levin,Virginia Institute for Public Policy,2
Mark Skousen,Virginia Institute for Public Policy,2
Patrick Michaels,Virginia Institute for Public Policy,2
Peter Boettke,Virginia Institute for Public Policy,2
Peter Leeson,Virginia Institute for Public Policy,2
Richard Norman,Virginia Institute for Public Policy,2
Richard Vedder,Virginia Institute for Public Policy,2
Richard Wagner,Virginia Institute for Public Policy,2
Roe Fortune,Virginia Institute for Public Policy,2
Roe Foundation,Virginia Institute for Public Policy,2
State Policy Network,Virginia Institute for Public Policy,2
Stephen Moore,Virginia Institute for Public Policy,2
Steven Eagle,Virginia Institute for Public Policy,2
Vernon Smith,Virginia Institute for Public Policy,2
Walter Williams,Virginia Institute for Public Policy,2
Glover Park Group,Visa,2
Rick Scarborough,Vision America,2
Jeffrey Epstein,Vitaly Churkin,2
Peter Thiel,Vitaly Churkin,2
Tom Barrack,Vitaly Churkin,2
Yuri Dubinin,Vitaly Churkin,2
Aleksei Gromov,Vladimir Putin,2
Arkady Rotenberg,Vladimir Putin,2
Boris Rotenberg,Vladimir Putin,2
Dimitri Simes,Vladimir Putin,2
Donald Trump,Vladimir Putin,2
Igor Putin,Vladimir Putin,2
Igor Sechin,Vladimir Putin,2
Jill Stein,Vladimir Putin,2
Karin Kneissl,Vladimir Putin,2
Leonid Reshetnikov,Vladimir Putin,2
Margarita Simonyan,Vladimir Putin,2
Max Blumenthal,Vladimir Putin,2
Michael Caputo,Vladimir Putin,2
Mikhail Lesin,Vladimir Putin,2
Oleg Deripaska,Vladimir Putin,2
Panos Kammenos,Vladimir Putin,2
Pyotr Aven,Vladimir Putin,2
Ray McGovern,Vladimir Putin,2
Rex Tillerson,Vladimir Putin,2
Roman Abramovich,Vladimir Putin,2
Ruben Vardanyan,Vladimir Putin,2
Rudolf Ritter,Vladimir Putin,2
Semion Mogilevich,Vladimir Putin,2
Sergei Chemezov,Vladimir Putin,2
Sergei Roldugin,Vladimir Putin,2
Sergey Gorkov,Vladimir Putin,2
Sergey Lavrov,Vladimir Putin,2
Steve Witkoff,Vladimir Putin,2
Suleyman Kerimov,Vladimir Putin,2
Yevgeny Prigozhin,Vladimir Putin,2
Vladimir Putin,Vladislav Surkov,2
Evgeny Buryakov,Vnesheconombank,2
Sergey Gorkov,Vnesheconombank,2
Vladimir Putin,Vnesheconombank,2
Gisela Stuart,Vote Leave,2
Matthew Elliott,Vote Leave,2
Nigel Lawson,Vote Leave,2
Prosperity Institute,Vote Leave,2
Kevin Bell,VOX Global Mandate,2
Kieran Mahoney,VOX Global Mandate,2
Rob Allyn,VOX Global Mandate,2
Qatar Investment Authority,VTB Bank,2
Suleyman Kerimov,VTB Bank,2
Vladimir Putin,VTB Bank,2
Erik Prince,Wagner Group,2
Jan Marsalek,Wagner Group,2
Natalia Zlobina,Wagner Group,2
Yevgeny Prigozhin,Wagner Group,2
Cone,Walgreens,2
Frances Cook,Walker Innovation,2
Jay Walker,Walker Innovation,2
Jonathan Siegel,Walker Innovation,2
Kara Jenny,Walker Innovation,2
Nathaniel Lipman,Walker Innovation,2
Rodney Slater,Walker Innovation,2
Thomas Ondeck,Walker Innovation,2
Wesley Clark,Walker Innovation,2
Abigail Shrier,Wall Street Journal,2
Alexandra Schiff,Wall Street Journal,2
Ariel Cohen,Wall Street Journal,2
Bret Stephens,Wall Street Journal,2
Bret Stephens,Wall Street Journal,2
Brett Kavanaugh,Wall Street Journal,2
Caroline Glick,Wall Street Journal,2
Daniel Mitchell,Wall Street Journal,2
Dr. Paul Marshall,Wall Street Journal,2
Free Press,Wall Street Journal,2
George Gilder,Wall Street Journal,2
Glenn Simpson,Wall Street Journal,2
Gordon Chang,Wall Street Journal,2
Ilan Berman,Wall Street Journal,2
Index of Economic Freedom,Wall Street Journal,2
James Sherk,Wall Street Journal,2
Jeffrey Birnbaum,Wall Street Journal,2
Jonathan Spyer,Wall Street Journal,2
Karen Elliott House,Wall Street Journal,2
Mark Helprin,Wall Street Journal,2
Matthew Continetti,Wall Street Journal,2
Meir Soloveichik,Wall Street Journal,2
Michael Johns,Wall Street Journal,2
Michael Rubin,Wall Street Journal,2
Mollie Hemingway,Wall Street Journal,2
Monica Crowley,Wall Street Journal,2
Neil Livingstone,Wall Street Journal,2
Paul Singer,Wall Street Journal,2
Rachel Abrams,Wall Street Journal,2
Richard Miniter,Wall Street Journal,2
Robert Agostinelli,Wall Street Journal,2
Robert Kagan,Wall Street Journal,2
Sohrab Ahmari,Wall Street Journal,2
Stephen Moore,Wall Street Journal,2
Steve Koonin,Wall Street Journal,2
Tom Palmer,Wall Street Journal,2
Victor Davis Hanson,Wall Street Journal,2
Walter Russell Mead,Wall Street Journal,2
William Shughart II,Wall Street Journal,2
David Barton,Wallbuilders,2
Farris Wilks,Wallbuilders,2
Dan Bartlett,Walmart,2
Dewey Square Group,Walmart,2
Dolphin Group,Walmart,2
Doug McMillon,Walmart,2
FLS Connect,Walmart,2
Hill & Knowlton,Walmart,2
Hillary Clinton,Walmart,2
Jim Breyer,Walmart,2
Terry Nelson,Walmart,2
Nancy Pfotenhauer,Walter Williams,2
Walton Family Foundation,Walton Fortune,2
Michael Barone,Washington Examiner,2
Nick Lindquist,Washington Examiner,2
Red Alert Politics,Washington Examiner,2
Stephen Miller,Washington Examiner,2
Bill Gertz,Washington Free Beacon,2
Fusion GPS,Washington Free Beacon,2
Glenn Simpson,Washington Free Beacon,2
Jack Hunter,Washington Free Beacon,2
Kevin Daley,Washington Free Beacon,2
Matthew Continetti,Washington Free Beacon,2
Michael Goldfarb,Washington Free Beacon,2
Paul Singer,Washington Free Beacon,2
Singer Fortune,Washington Free Beacon,2
Aubrey Chernick,Washington Institute for Near East Policy,2
Bud McFarlane,Washington Institute for Near East Policy,2
Chernick Fortune,Washington Institute for Near East Policy,2
David Keyes,Washington Institute for Near East Policy,2
Dennis Ross,Washington Institute for Near East Policy,2
Diane and Guilford Glazer Foundation,Washington Institute for Near East Policy,2
Eliot Cohen,Washington Institute for Near East Policy,2
Gregory Craig,Washington Institute for Near East Policy,2
Jim Woolsey,Washington Institute for Near East Policy,2
Jonathan Schanzer,Washington Institute for Near East Policy,2
Klarman Family Foundation,Washington Institute for Near East Policy,2
Koret Foundation,Washington Institute for Near East Policy,2
Larry Hochberg Family Foundation,Washington Institute for Near East Policy,2
Martin Kramer,Washington Institute for Near East Policy,2
Marty Peretz,Washington Institute for Near East Policy,2
Michael Herzog,Washington Institute for Near East Policy,2
Michael Rubin,Washington Institute for Near East Policy,2
Mort Zuckerman,Washington Institute for Near East Policy,2
Nina Rosenwald,Washington Institute for Near East Policy,2
Richard Perle,Washington Institute for Near East Policy,2
Sarah May Stern,Washington Institute for Near East Policy,2
Schwab Charitable Fund,Washington Institute for Near East Policy,2
Vin Weber,Washington Institute for Near East Policy,2
Max Kampelman,Washington Kurdish Institute,2
Morris Amitay,Washington Kurdish Institute,2
Altria,Washington Legal Foundation,2
American Enterprise Institute,Washington Legal Foundation,2
Anschutz Fortune,Washington Legal Foundation,2
Bradley Foundation,Washington Legal Foundation,2
Cato Institute,Washington Legal Foundation,2
Claude R. Lambe Foundation,Washington Legal Foundation,2
DonorsTrust/Donors Capital Fund,Washington Legal Foundation,2
F.M. Kirby Foundation,Washington Legal Foundation,2
Heritage Foundation,Washington Legal Foundation,2
John Ashcroft,Washington Legal Foundation,2
John M. Olin Foundation,Washington Legal Foundation,2
Mark Chenoweth,Washington Legal Foundation,2
Mellon Scaife Fortune,Washington Legal Foundation,2
Michael Greve,Washington Legal Foundation,2
Rodney Fund,Washington Legal Foundation,2
Roy Marden,Washington Legal Foundation,2
Roy Marden,Washington Legal Foundation,2
Tommy Thompson,Washington Legal Foundation,2
Uihlein Fortune,Washington Legal Foundation,2
Altria,Washington Policy Center,2
Bradley Foundation,Washington Policy Center,2
DonorsTrust/Donors Capital Fund,Washington Policy Center,2
JM Foundation,Washington Policy Center,2
Roe Fortune,Washington Policy Center,2
State Policy Network,Washington Policy Center,2
Ariel Cohen,Washington Post,2
Ben Domenech,Washington Post,2
Brett Kavanaugh,Washington Post,2
Charles Krauthammer,Washington Post,2
Daniel Mitchell,Washington Post,2
David Ignatius,Washington Post,2
Donald Graham,Washington Post,2
Douglas Feith,Washington Post,2
Dr. Paul Marshall,Washington Post,2
Ed Rogers,Washington Post,2
Elaine Donnelly,Washington Post,2
Eugene Meyer,Washington Post,2
Fred Hiatt,Washington Post,2
Hilary Rosen,Washington Post,2
James Glassman,Washington Post,2
Jeff Bezos,Washington Post,2
Jeffrey Birnbaum,Washington Post,2
Jeremy Hunt,Washington Post,2
Joe Allbritton,Washington Post,2
John O'Sullivan,Washington Post,2
Mark Helprin,Washington Post,2
Matthew Continetti,Washington Post,2
Max Boot,Washington Post,2
Michael Gerson,Washington Post,2
Michael Rubin,Washington Post,2
Middle East Media Research Institute,Washington Post,2
Mollie Hemingway,Washington Post,2
Neil Livingstone,Washington Post,2
Robert Kagan,Washington Post,2
Tom Palmer,Washington Post,2
Will Lewis,Washington Post,2
Ariel Cohen,Washington Times,2
Arnaud de Borchgrave,Washington Times,2
Arnold Beichman,Washington Times,2
Ben Domenech,Washington Times,2
Bill Gertz,Washington Times,2
Bo Hi Pak,Washington Times,2
Bud McFarlane,Washington Times,2
Caroline Glick,Washington Times,2
Daniel Mitchell,Washington Times,2
Deroy Murdock,Washington Times,2
Dr. Paul Marshall,Washington Times,2
Elaine Donnelly,Washington Times,2
Frank Gaffney,Washington Times,2
Herbert London,Washington Times,2
Insight on the News,Washington Times,2
J.D. Gordon,Washington Times,2
Jeffrey Birnbaum,Washington Times,2
Jenny Beth Martin,Washington Times,2
John Derbyshire,Washington Times,2
John Solomon,Washington Times,2
Josette Shiner,Washington Times,2
Michael Fumento,Washington Times,2
Monica Crowley,Washington Times,2
Paul Weyrich,Washington Times,2
Robert Agostinelli,Washington Times,2
Roger Fontaine,Washington Times,2
Sam Francis,Washington Times,2
Stephen Moore,Washington Times,2
Victor Davis Hanson,Washington Times,2
Victoria Toensing,Washington Times,2
William Shughart II,Washington Times,2
David Clarke,We Build the Wall,2
Erik Prince,We Build the Wall,2
Guo Wengui,We Build the Wall,2
Kris Kobach,We Build the Wall,2
Robert Spalding,We Build the Wall,2
Steve Bannon,We Build the Wall,2
Tom Tancredo,We Build the Wall,2
American Project,We the People AZ Alliance,2
Shelby Busch,We the People AZ Alliance,2
Lippo Group,Webster Hubbell,2
Mickey Kantor,Webster Hubbell,2
Seth Ward,Webster Hubbell,2
Susan Thomases,Webster Hubbell,2
Vernon Jordan,Webster Hubbell,2
Ed Meese,Wedtech,2
"Squadron, Ellenoff, Plesent & Sheinfeld",Wedtech,2
Amy Kass,Weekly Standard,2
Bill Kristol,Weekly Standard,2
David Bellavia,Weekly Standard,2
Dr. Paul Marshall,Weekly Standard,2
Max Boot,Weekly Standard,2
Michael Goldfarb,Weekly Standard,2
Rachel Abrams,Weekly Standard,2
Stephen Moore,Weekly Standard,2
Tom Rose,Weekly Standard,2
Gavin Anderson & Company,Wells Fargo,2
American Democracy Alliance,Wellspring Committee,2
Ann Corkery,Wellspring Committee,2
Cleta Mitchell,Wellspring Committee,2
Crow Foundations,Wellspring Committee,2
Kathleen Corkery,Wellspring Committee,2
Koch Network,Wellspring Committee,2
Leonard Leo,Wellspring Committee,2
Neil Corkery,Wellspring Committee,2
Robin Arkley,Wellspring Committee,2
Rosebush Corp,Wellspring Committee,2
Singer Fortune,Wellspring Committee,2
Templeton Fortune,Wellspring Committee,2
Dinesh D’Souza,Wendy Long,2
Berman & Company,Wendy's,2
J.R. Simplot,Wendy's,2
Douglas Macgregor,Wesley Clark,2
Greening Earth Society,Western Fuels Association,2
Daniel Graham,Western Goals Foundation,2
